---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Custom Rotations ----------
icvgqm | [15,2,8,19,12,21]
wnyeoq | [3,13,11,17,10,25]
---------- Random Rotations ----------
bioekj | [8,8,1,17,6,18]
kbgtce | [17,1,19,6,24,13]
dgbsvg | [10,6,14,5,17,15]
tqgkiz | [26,16,19,23,4,8]
efoawt | [11,5,1,13,18,2]
dolglu | [10,14,24,19,7,3]
dedvmt | [10,4,16,8,8,2]
tbvksv | [26,1,8,23,14,4]
euewft | [11,20,17,9,1,2]
zzqnbg | [6,25,3,26,23,15]
pteboq | [22,19,17,14,10,25]
rgdthm | [24,6,16,6,3,21]
ijnxcm | [15,9,26,10,24,21]
ijtepc | [15,9,6,17,11,11]
nenhni | [20,4,26,20,9,17]
seectk | [25,4,17,15,15,19]
gaghbj | [13,26,19,20,23,18]
scnwny | [25,2,26,9,9,7]
eiuesl | [11,8,7,17,14,20]
lzqsrn | [18,25,3,5,13,22]
nwixsm | [20,22,21,10,14,21]
tsnbiy | [26,18,26,14,4,7]
igbcot | [15,6,14,15,10,2]
prlnhy | [22,17,24,26,3,7]
sjkpjc | [25,9,23,2,5,11]
rfedsd | [24,5,17,16,14,12]
dbjrqm | [10,1,22,4,12,21]
uhlkhl | [1,7,24,23,3,20]
kngnyy | [17,13,19,26,20,7]
wiiybg | [3,8,21,11,23,15]
scxmte | [25,2,10,25,15,13]
eyhptw | [11,24,20,2,15,5]
pgdvan | [22,6,16,8,22,22]
mifnrn | [19,8,18,26,13,22]
wrwlom | [3,17,9,24,10,21]
lttddo | [18,19,6,16,25,23]
ldmhct | [18,3,25,20,24,2]
gavhtz | [13,26,8,20,15,8]
lhacov | [18,7,13,15,10,4]
ubisog | [1,1,21,5,10,15]
fsucbz | [12,18,7,15,23,8]
ciwsze | [9,8,9,5,21,13]
kwqpre | [17,22,3,2,13,13]
qvxrft | [23,21,10,4,1,2]
