---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Random Rotations ----------
input: tanner
name   | rotation
---------------------------------------
pqetat | [22,16,17,6,22,2]
yaxtpa | [5,26,10,6,11,9]
ofdrwu | [21,5,16,4,18,3]
flqmwz | [12,11,3,25,18,8]
uudisn | [1,20,16,21,14,22]
ntyluj | [20,19,11,24,16,18]
osyqfy | [21,18,11,3,1,7]
rvlpfd | [24,21,24,2,1,12]
kavite | [17,26,8,21,15,13]
qlquhm | [23,11,3,7,3,21]
ebsmas | [11,1,5,25,22,1]
bhmrrj | [8,7,25,4,13,18]
jkwhuq | [16,10,9,20,16,25]
javlup | [16,26,8,24,16,24]
acaekb | [7,2,13,17,6,10]
lvrivf | [18,21,4,21,17,14]
pfmdjb | [22,5,25,16,5,10]
qtxnxs | [23,19,10,26,19,1]
qtyozq | [23,19,11,1,21,25]
kxbpel | [17,23,14,2,26,20]
vtqody | [2,19,3,1,25,7]
qsrdih | [23,18,4,16,4,16]
hgworg | [14,6,9,1,13,15]
weeufh | [3,4,17,7,1,16]
xillef | [4,8,24,24,26,14]
agupvb | [7,6,7,2,17,10]
jppgai | [16,15,2,19,22,17]
teasas | [26,4,13,5,22,1]
gpeood | [13,15,17,1,10,12]
orobsx | [21,17,1,14,14,6]
hvwqoq | [14,21,9,3,10,25]
zuofjo | [6,20,1,18,5,23]
nvlkvu | [20,21,24,23,17,3]
zkfgvz | [6,10,18,19,17,8]
jfrpqf | [16,5,4,2,12,14]
rblltd | [24,1,24,24,15,12]
vquuof | [2,16,7,7,10,14]
xhefmq | [4,7,17,18,8,25]
pbvvyz | [22,1,8,8,20,8]
pzfkwi | [22,25,18,23,18,17]
agvbmn | [7,6,8,14,8,22]
wityqd | [3,8,6,11,12,12]
gbfmsd | [13,1,18,25,14,12]
qhpsrz | [23,7,2,5,13,8]
vxrefi | [2,23,4,17,1,17]
fqfmtn | [12,16,18,25,15,22]
