---------- Uniform Rotations ----------
input: tanner
name   | rotation
---------------------------------------
uboofs | 1
vcppgt | 2
wdqqhu | 3
xerriv | 4
yfssjw | 5
zgttkx | 6
ahuuly | 7
bivvmz | 8
cjwwna | 9
dkxxob | 10
elyypc | 11
fmzzqd | 12
gnaare | 13
hobbsf | 14
ipcctg | 15
jqdduh | 16
kreevi | 17
lsffwj | 18
mtggxk | 19
nuhhyl | 20
oviizm | 21
pwjjan | 22
qxkkbo | 23
ryllcp | 24
szmmdq | 25
tanner | 26
---------- Random Rotations ----------
input: tanner
name   | rotation
---------------------------------------
pjgyub | [22,9,19,11,16,10]
omilau | [21,12,21,24,22,3]
umjlfy | [1,12,22,24,1,7]
lawbqy | [18,26,9,14,12,7]
akyopr | [7,10,11,1,11,26]
xujzcx | [4,20,22,12,24,6]
zsbwsa | [6,18,14,9,14,9]
awubfk | [7,22,7,14,1,19]
utsvjk | [1,19,5,8,5,19]
qmwrie | [23,12,9,4,4,13]
uopvux | [1,14,2,8,16,6]
gillzr | [13,8,24,24,21,26]
jkcxar | [16,10,15,10,22,26]
fgkbpl | [12,6,23,14,11,20]
fhfndg | [12,7,18,26,25,15]
hxjmky | [14,23,22,25,6,7]
lthtss | [18,19,20,6,14,1]
nupuod | [20,20,2,7,10,12]
txtzzs | [26,23,6,12,21,1]
wypoxw | [3,24,2,1,19,5]
wepent | [3,4,2,17,9,2]
bdckwg | [8,3,15,23,18,15]
tnhexj | [26,13,20,17,19,18]
kufyda | [17,20,18,11,25,9]
qqitqn | [23,16,21,6,12,22]
fuynfd | [12,20,11,26,1,12]
ctucph | [9,19,7,15,11,16]
jdpbxx | [16,3,2,14,19,6]
higobe | [14,8,19,1,23,13]
azsrwx | [7,25,5,4,18,6]
vywpkd | [2,24,9,2,6,12]
ikjzjh | [15,10,22,12,5,16]
snznkh | [25,13,12,26,6,16]
nnbaqg | [20,13,14,13,12,15]
yisqxs | [5,8,5,3,19,1]
hiylfl | [14,8,11,24,1,20]
dxjozp | [10,23,22,1,21,24]
bgcwyv | [8,6,15,9,20,4]
uuvptp | [1,20,8,2,15,24]
wmurzy | [3,12,7,4,21,7]
sramyy | [25,17,13,25,20,7]
excorj | [11,23,15,1,13,18]
bpzjdw | [8,15,12,22,25,5]
vcfwxp | [2,2,18,9,19,24]
hyetde | [14,24,17,6,25,13]
guzmve | [13,20,12,25,17,13]
